0.29,6,500,0.9692
0.29,7,50,0.9414
0.29,7,100,0.953
0.29,7,150,0.9611
0.29,7,200,0.9609
0.29,7,300,0.9656
0.29,7,400,0.9637
0.29,7,500,0.97
0.39,4,50,0.9349
0.39,4,100,0.9419
0.39,4,150,0.9514
0.39,4,200,0.9491
0.39,4,300,0.952
0.16,6,500,0.9755
0.16,6,500,0.9755
